model,dataset,d_effective,r2_val,v_eps01,v_eps05,v_eps10,n_pairs_eps01,n_pairs_eps05,n_pairs_eps10,lip_q50,lip_q90,lip_q95,lip_q99,lip_tail_ratio,lip_mean,lip_std,tau,diameter,n_folds
dt,student_performance,29,0.2100865841070907,0.0,0.0,0.0,377,377,377,0.1938881102846532,0.7611908655845098,0.9523088988808761,1.293597108813549,0.7161374624684007,0.29448966804095555,0.3192783304611977,0.5126278930061724,15.334096088531206,5
erbf,student_performance,29,0.2443916261675812,0.0,0.0,0.0,377,377,377,0.30263297487267743,0.7598845848851823,0.9529048737779698,1.2779866800395545,0.6265836664404268,0.36711467486591076,0.29138304768927625,0.5613947392924288,15.334096088531206,5
rf,student_performance,29,0.308138366226763,0.0,0.0,0.0,377,377,377,0.20661127648822789,0.6326565677864464,0.8480706839666275,1.1579273820505793,0.7423133918065294,0.2801243262558012,0.25773269387059156,0.4990914242112402,15.334096088531206,5
ridge,student_performance,29,0.2696893390834188,0.0,0.0,0.0,377,377,377,0.17347996766090956,0.43147554433020774,0.5124005162773321,0.6831294417021028,0.5955967344318627,0.20657010433683257,0.15625945692704357,0.5085394146928873,9.289778065370834,5
xgb,student_performance,29,0.2966488562228518,0.0,0.0,0.0,377,377,377,0.2120139272815175,0.6191729599799813,0.7999226456831829,1.1352150095755271,0.7270949178408433,0.27947643540042877,0.2502100355740961,0.4832898676395416,15.334096088531206,5
chebypoly,sulfur,6,0.7640149886172949,0.0,0.15432127535341178,0.2833588999107949,179,24498,37333,0.176698672608668,0.4905678141451079,0.6841052332627362,1.5318190191806615,0.9375932932425881,0.24635991889683737,0.28484309792612406,0.013930863370129906,1.0894857043214363,5
chebytree,sulfur,6,0.7907018794589428,0.017169864353284596,0.18320099699486342,0.28893412667190543,179,24498,37333,0.16746633495044194,0.5891127266869499,0.8582792210034429,1.776066675129218,1.0246639050550392,0.26986782911466384,0.346299169838901,0.014293044108200592,1.0894857043214363,5
dt,sulfur,6,0.7166181394442128,0.010992887201158652,0.20983048881986033,0.31932523203693985,179,24498,37333,0.16191305291186403,0.5957425910809027,0.8324737396786048,1.7390007838969226,1.0310341702727215,0.2520557970558083,0.34858200702512654,0.01360896645874748,1.0894857043214363,5
erbf,sulfur,6,0.7792308386497114,0.0,0.16178798066360298,0.2834951849241854,179,24498,37333,0.17748689293980421,0.52807115124331,0.7245528397127347,1.562023007686517,0.9444016979709776,0.2552299042169063,0.3012731326156581,0.014201993827649731,1.0894857043214363,5
rf,sulfur,6,0.7315825611523443,0.002150537634408602,0.18367318551809556,0.30577821277430905,179,24498,37333,0.1542291598702136,0.5008047519847557,0.6896283594355459,1.6144242424367552,1.0198137678480905,0.23461186943145731,0.28859944009341476,0.012835974847769304,1.0894857043214363,5
ridge,sulfur,6,0.3929678266342179,0.0,0.0016635437470467866,0.1588923652391075,103,11759,28850,0.016854206630213885,0.030133268557892674,0.03233025416794246,0.0355762691793593,0.3236434948791286,0.01685567915166362,0.009816705897938729,0.009506231627044049,5.355182556934553,5
xgb,sulfur,6,0.8281368843305819,0.018051699058029235,0.19626649110686623,0.30505341713673845,179,24498,37333,0.1922586314623344,0.5809798327030992,0.7940882341643378,1.6661707510422357,0.9407459069922066,0.2792030398857623,0.34219783131204345,0.013853895477950573,1.0894857043214363,5
