model,dataset,rho_mean,rho_std,r2_val,n_folds
rf,house_16H,0.5400927078738645,0.014503117409475595,0.48564013166020725,5
ridge,house_16H,0.3343155155163617,0.009397435707511897,0.23607383358367132,5
xgb,house_16H,0.7023872833916956,0.07333011994330889,0.5143194592257757,5
chebypoly,house_sales,0.8188927014902972,0.005600816628361145,0.8458885217216355,5
chebytree,house_sales,0.8279149218082745,0.008187452546196794,0.8523647081553122,5
dt,house_sales,0.8006734065316892,0.011345546739423316,0.7903936510785013,5
erbf,house_sales,0.8494839730436367,0.011708398010993102,0.8705898857958214,5
rf,house_sales,0.7503752390219717,0.003991510225592679,0.8385541542409769,5
ridge,house_sales,0.48822508360237127,0.0024666262670444464,0.7463084885312327,5
xgb,house_sales,0.8731661515028911,0.011885473200328421,0.8761199150084795,5
chebypoly,lipophilicity,0.5087718211468272,0.01585772800085301,0.3337110563141293,5
chebytree,lipophilicity,0.5089904642305763,0.024658533256037188,0.33123120920077753,5
dt,lipophilicity,0.4854691586752934,0.013918092107556151,0.29546816897914396,5
erbf,lipophilicity,0.5826495244502083,0.03487899834345193,0.3894009326053703,5
rf,lipophilicity,0.4556449201814486,0.008020295697189843,0.3991008266524082,5
ridge,lipophilicity,0.24093308073184877,0.003667573863191423,0.24971980244515576,5
xgb,lipophilicity,0.6283763293448759,0.051472357228807615,0.39211146182346324,5
chebypoly,medical_charges,0.3448034466197405,0.012444302266759591,0.9798272404156727,5
chebytree,medical_charges,0.3474202214024641,0.012730693351434503,0.9799989612087764,5
dt,medical_charges,0.34835466002324633,0.013400333286158445,0.9778175657162744,5
erbf,medical_charges,0.34772122084658913,0.011960931289264374,0.980001758077359,5
rf,medical_charges,0.3356553165221647,0.011511720103131852,0.977111931978359,5
ridge,medical_charges,0.22111482177298053,0.008860706493596226,0.8272701334245971,5
xgb,medical_charges,0.35989328329764525,0.01158880430733974,0.9793786920532078,5
chebypoly,nyc-taxi-green-dec-2016,0.26439588059619457,0.008582991932487618,0.39334435016684477,5
chebytree,nyc-taxi-green-dec-2016,0.7012757199985822,0.01638846368778461,0.5299997595565391,5
dt,nyc-taxi-green-dec-2016,0.6315513848255252,0.02013464133985893,0.517349901221034,5
erbf,nyc-taxi-green-dec-2016,0.4294676755112312,0.05143699434878558,0.4589090783115469,5
rf,nyc-taxi-green-dec-2016,0.3094111379407584,0.0055480740169675845,0.43991727220289417,5
ridge,nyc-taxi-green-dec-2016,0.14093212229949653,0.0046744553453899615,0.30685603465293854,5
