model,dataset,d_effective,r2_val,lip_tail_ratio,lip_tail_ratio_q90,lip_q50,lip_q75,lip_q90,lip_q95,lip_q99,lip_mean,lip_std,violation_prob,per_point_max_q95,tau,n_anchors,median_perturbation_dist,n_probes,n_folds
erbf,MiamiHousing2016,13,0.9180379067966478,0.5956299781010328,0.3838560311510378,0.10125020993391617,0.18390992710495868,0.30473951108207037,0.4133572049289354,0.7472703844287203,0.141925790512501,0.15141254518034658,0.0015100714749837554,0.9675351173438402,0.16359728048934508,189,0.10112218136295284,5694,5
rf,MiamiHousing2016,13,0.8644760704638597,0.6977324052026658,0.4403163452318603,0.0648418217427931,0.1456514194549176,0.2700160335367411,0.39041612590900393,0.7575751404015568,0.11660616711823887,0.16808691682334315,0.002284414740555091,0.8951161312534726,0.14390557879366597,189,0.10112218136295284,5694,5
ridge,MiamiHousing2016,13,0.7169849285525965,0.2687856483089793,0.134456442875114,0.09974141722057624,0.16655991341960458,0.22806929389566596,0.261514661558598,0.31197362716154486,0.11289283283491536,0.07906134667976114,0.0010526315789473684,0.3461740275591949,0.1442366811045543,189,0.10108726601101332,5694,5
xgb,MiamiHousing2016,13,0.9173623906388986,0.7008106512257515,0.4269450647851077,0.19638394051625557,0.478110910311398,0.9178494283284173,1.3180556020023149,2.48885095402747,0.36836858833608643,0.5119563613341521,0.03618249327021257,3.1557173826849914,0.16324499249458313,189,0.10112218136295284,5694,5
chebypoly,abalone,7,0.5597057267518735,0.3509972320203267,0.18523151249954078,1.7764970762460028,3.18703809236518,4.700990342110124,5.6229203403972825,7.241865933808606,2.1799756729761652,1.7404244845436192,0.0010666666666666667,8.657485479105471,0.7306377503127656,100,0.036905620921510715,3000,5
chebytree,abalone,7,0.5653372533665,0.42675900390412114,0.25246312565395657,1.8869013517872446,3.3977197976100917,5.124850076512688,6.340938893469729,9.405557437609824,2.5514232559608665,4.065741957100708,0.0041333333333333335,10.887671944480184,0.7323444074299353,100,0.036905620921510715,3000,5
dt,abalone,7,0.4821923502554052,2.0043213737826426,2.0043213737826426,0.0,0.0,0.0,1.425756903348448,38.768344430167545,1.2034291234016359,7.495617375827204,0.027066666666666666,57.44197958343314,0.7147310729535148,100,0.036905620921510715,3000,5
erbf,abalone,7,0.5572996945474092,0.4386362713628927,0.2477436256968725,1.4741634718384482,2.83366169473988,4.431138690690355,5.552717495651452,7.903051440639371,1.9837807578209001,1.7790143737234694,0.004,9.25136753231422,0.7352909652483269,100,0.036905620921510715,3000,5
rf,abalone,7,0.5485287310460788,0.7939031123751172,0.47480877175133385,0.7755387037228024,2.0187205346256625,4.345794825087916,6.937854571422053,13.247827431561564,1.736521929265012,2.7431511247940534,0.0038666666666666667,17.086713352654606,0.6888634552777699,100,0.036905620921510715,3000,5
ridge,abalone,7,0.5151522772954061,0.2696841092264878,0.1325477929593757,1.6948062623664952,2.859698792973678,3.9398487692231816,4.478828140706557,5.365221554457669,1.9374428452606065,1.3584558686875827,0.009066666666666667,5.938352719492715,0.7047566688284009,100,0.03686559905971758,3000,5
xgb,abalone,7,0.5223802473291739,0.7609862727689845,0.4080022293144885,1.341318042191936,7.8710033213298685,18.065434689793896,26.255721610155852,46.999927942317406,5.997103743333443,10.423062903541204,0.07980000000000001,60.762354945407445,0.7224516272544861,100,0.036905620921510715,3000,5
chebypoly,airfoil_noise,5,0.7293914569755413,0.7146563501798158,0.34797173385733177,46.88676437842158,210.47241574703799,491.6318057767893,651.0114776572112,1103.4192078611318,160.71585807961907,249.4208423779959,0.614104657107925,1311.5907837583522,1.8070319811565458,100,0.07135683514486087,2999,5
chebytree,airfoil_noise,5,0.8317089287556743,0.9247967717069354,0.48000808507731146,41.440070918518195,161.75356533745722,422.12321209334385,608.4311519076707,984.692910827576,137.15455353825666,218.85482051450245,0.3834859175280649,1196.056975642452,1.9511158189512472,100,0.07135683514486087,2999,5
